,Expected Return,Portfolio Variance,Portfolio Std,Sharpe Ratio,SPY,VTWO,IJH,VEU,VWO,VT,AGG
1738,0.09311600177224079,0.014647026177888633,0.12102489899970433,0.6041401593933114,0.06117122445953364,0.500882383285922,0.028470075153608342,0.01341742628343277,0.04559883091053034,0.04499344898609743,0.30546661092087546
6422,0.09053924056932135,0.015068197636207176,0.12275258708559741,0.5746456530495212,0.02869190063550477,0.4268256471657658,0.05186038636471353,0.03877720486318522,0.09589551610131594,0.04604156345044608,0.31190778141906883
7361,0.09901656861739147,0.018940304040559387,0.13762377716281218,0.5741491059638117,0.10377124047252441,0.49608712676478367,0.11619892499256142,0.00047017321281643223,0.03279368858445779,0.04022193917918269,0.2104569067936736
5616,0.10139723588118645,0.02015801504168029,0.1419789246391178,0.573305059804348,0.00976199736714786,0.5070508865657304,0.16759051670070882,0.017270498255681097,0.010326609687644353,0.09312227058833733,0.19487722083475026
7962,0.0861207501187562,0.013500113360569561,0.11618998821141846,0.5690744197205989,0.0425261381902104,0.3918589018769699,0.00424185552433748,0.04305888089376383,0.1054443630897065,0.06235741928834217,0.3505124411366698
9686,0.08236675159775714,0.012137452588937562,0.11017010751078335,0.5660950416305325,0.03730034386015979,0.3637012458019208,0.04033496349024164,0.08621740590054297,0.014930528648379793,0.08686358856991629,0.3706519237288389
8427,0.08597250368954899,0.013884323744146613,0.11783176033712903,0.5598872791240217,0.04112124754543962,0.25205076484214173,0.2947073125709465,0.043343187479152834,0.013690016632411725,0.006197214727942639,0.34889025620196495
89,0.09414322056064617,0.017866037098027938,0.13366389601544593,0.5546989334507976,0.01137837668590923,0.379560732110242,0.2608256284036745,0.07245368567981517,0.01725389816126532,0.005032869619763707,0.25349480933933
8851,0.0999498948540402,0.021675776403538037,0.14722695542439923,0.5430384308605384,0.09894141801395664,0.48277088151554864,0.13509827678085684,0.04508898801935094,0.058303601767420804,0.014077126976897232,0.16571970692596885
9154,0.085672751863478,0.014691610434466564,0.12120895360684608,0.5418143619694502,0.009046734982884535,0.34822455022999893,0.15689168430832653,0.12689432614795246,0.008123827697514971,0.030841363357173645,0.31997751327614876
1597,0.10713009879854955,0.02608541406477358,0.16150979556910341,0.5394725347248065,0.01830159178853765,0.5758451788928965,0.025795093230932164,0.0169328026813835,0.23470729149067035,0.0035046303390326625,0.12491341157654716
289,0.0720966699174592,0.009380893299006408,0.09685501173923014,0.5378830582120302,0.03409620006405415,0.13022695361087908,0.1425142591522634,0.023912617031328867,0.05331675653454958,0.1229996071204674,0.4929336064864574
5288,0.08706604660381968,0.015550265455374105,0.12470070350793577,0.5378161046184611,0.08065155635547323,0.2357503308808691,0.2970806387140577,0.029274618001117744,0.016666933193566606,0.02828932550812159,0.3122865973467942
7565,0.083396030499239,0.013969568506167915,0.11819292917162141,0.5363775222728013,0.11985777192611033,0.32236967929958993,0.039141051669250686,0.04629123066078911,0.058974648027132676,0.08125372689170049,0.3321118915254268
6850,0.09315925982562796,0.018720384565489686,0.1368224563640402,0.5347021371329198,0.06344691371195511,0.4054402195153763,0.004477116856072552,0.0033646091448336986,0.22804415168379202,0.028729679137890346,0.2664973099500799
391,0.08339194749167009,0.014151407640420896,0.11895968914056937,0.532885954474567,0.08578206610449367,0.17959182980169563,0.27272342004860683,0.0015815575941943022,0.04763675895136859,0.05568983500753972,0.3569945324921012
72,0.08725950009645045,0.01595219584919287,0.12630200255416726,0.532529166096197,0.2057966578454034,0.3047935504280061,0.14179122347073198,0.013167234115829112,0.027813161713550246,0.028182022118346292,0.278456150308133
7014,0.07190713963186467,0.009524036958974894,0.09759117254636761,0.531883553373667,0.0012594505189679724,0.06938889213333505,0.23791503576198694,0.0008414608213473068,0.027883123008223293,0.15751582485522939,0.5051962129009101
7646,0.08998644407363854,0.01742675261016096,0.13201042614188077,0.5301584588358138,0.0541353150788924,0.290554241378648,0.25874648758805824,0.04845909466719002,0.010106454112639803,0.0707010349614145,0.2672973722131571
8522,0.08535909921534772,0.015249140327591473,0.123487409591389,0.5292774334777635,0.14327635940876846,0.20977863461276836,0.27080748713459135,0.009555132362100097,0.03427991049877771,0.013701860687057834,0.3186006152959362
6429,0.08908588224456238,0.017084087335459276,0.13070611055134063,0.5285589323494239,0.06375351387484667,0.2913240977647502,0.18018724810005873,0.024694686962402474,0.08334942847748489,0.0727199571315992,0.2839710676888578
5712,0.08582209611227776,0.015536324447185348,0.12464479310097694,0.5280773827347454,0.1446523743067558,0.32948980272263334,0.013269456756224509,0.018495021363690186,0.15510976092608075,0.023857688884276203,0.31512589504033905
3073,0.09063964608345307,0.01790834911376479,0.13382208006814417,0.527862412895408,0.12523880535647688,0.3018011636142107,0.16336293222122839,0.0023892110736956017,0.13176560487297878,0.007263857204182664,0.2681784256572269
9746,0.09354747410556537,0.019587359262287354,0.13995484722683724,0.5255085876830007,0.22845360934972192,0.42902141302689895,0.023400097542861313,0.016442621234623953,0.06296504837324782,0.04565533943864905,0.194061871033997
4182,0.08300841309521254,0.014533718108141696,0.12055587131343581,0.5226490622874401,0.022067872322513248,0.2454782905025939,0.14587132864546395,0.05674617581295594,0.14170177903115044,0.022575905843804447,0.36555864784151804
407,0.09152659163803005,0.01873116218141123,0.13686183610273256,0.5226189686973077,0.14003072999928234,0.287650982120645,0.26455215460216336,0.020314974800265746,0.00294655584420341,0.05235308540173087,0.23215151723170915
1782,0.088747850371592,0.0174569068976957,0.13212458854314627,0.5203259372810979,0.10847767310161346,0.3134624055969668,0.0932248622407279,0.005105870122665327,0.062348683464584824,0.15466518932779896,0.2627153161456428
3659,0.08839826117091806,0.01729154362294216,0.1314973141282443,0.5201494922110108,0.15949337617201115,0.25768600320739876,0.2529033010025783,0.026364443389056653,0.015433998825801279,0.023661158369420697,0.2644577190337331
2353,0.08155108921716586,0.014122446134188348,0.11883789856013252,0.517941582297677,0.14617781749134617,0.28427516578160883,0.020188104677140873,0.02737246202246755,0.04225652086774328,0.1503099770617716,0.32941995209792163
3571,0.09346141593961743,0.020169507562504588,0.1420193915016699,0.517263277661302,0.000942477823729583,0.28698492814428095,0.28383643867553315,0.04050649790297163,0.06997460637783559,0.08348289040375227,0.23427216067189682
770,0.08206201831704135,0.014496066419746238,0.12039961137705651,0.5154669322202476,0.013026637110765975,0.2870404473432035,0.018148791922622056,0.047346611597398544,0.07442463792672781,0.21693967671011088,0.34307319738917114
6379,0.08701937155625646,0.016905887708022208,0.13002264305890035,0.5154438486986965,0.14204672296763582,0.26977846313266346,0.1199578849306581,0.001347486593082487,0.12133255940268169,0.055371594462232124,0.29016528851104634
7744,0.0915988534525057,0.01936220880065427,0.13914815414030568,0.5145512270346844,0.06773317129328126,0.2638517439771303,0.24556391515312778,0.017221742994620225,0.13453097571669337,0.013754575203982893,0.25734387566116435
3747,0.08459344455809571,0.015777732078860615,0.1256094426341452,0.5142403564852446,0.19853964532736873,0.26834541757792363,0.11804261848645524,0.023885776522819365,0.05466675381198883,0.04219669326250007,0.2943230950109442
8437,0.09023881146589934,0.01867030681039239,0.1366393311253842,0.5140453402940488,0.09268892602338143,0.2509198272213041,0.3005664405168177,0.04372556438249918,0.043530673467121896,0.015591127448947166,0.2529774409399283
5525,0.08839553238652535,0.017763730398250313,0.13328064524997738,0.5131692771913329,0.03479241720528421,0.2961709388783237,0.14320237981501827,0.0339650817038899,0.01494048819329525,0.21586396992074328,0.26106472428344546
7577,0.08705517992244743,0.01707926620255937,0.13068766660461642,0.5130949359231942,0.23774509519316056,0.3302102474313321,0.028907399560916133,0.004734460456079522,0.049534657610586855,0.09672767233935367,0.252140467408571
9236,0.0833407268281348,0.015252387921798491,0.12350055838658582,0.5128780602745407,0.12740907243694222,0.260024152006498,0.17449473518958725,0.08336918507814113,0.03406852421266471,0.007883435648906482,0.3127508954272602
5529,0.08999594446421796,0.018627823947113077,0.13648378638912784,0.5128517189921232,0.01672640310045,0.27917792551731635,0.21203518164229454,0.04127948913391964,0.058700312237248975,0.13301943536222977,0.2590612530065406
2702,0.09257243268605636,0.020028507271429734,0.14152210877255092,0.5127992602392046,0.12874842465803205,0.33694045728497724,0.1272956085611909,0.016815610771640312,0.0975753460766279,0.07641113603398797,0.21621341661354365
6152,0.08867117954749874,0.01794767117879263,0.13396891870427494,0.5125903844837665,0.09067582119377457,0.33371494398466756,0.05098581845770015,0.03998703933359655,0.19256556097236951,0.008648276051887319,0.28342254000600453
5869,0.08706976762603312,0.017125882225061336,0.13086589404830173,0.5125076179228035,0.08954003001175045,0.2920323362059941,0.08121078964654523,0.0014811232639280825,0.029731111091574773,0.23659884467326925,0.26940576510693826
3750,0.0884499340896194,0.017968832430204428,0.13404787365044038,0.5106379700443276,0.03395928966743627,0.25247101012671275,0.23280474785482994,0.035111828778480916,0.017631352159252024,0.1607166429408121,0.2673051284724759
2666,0.08106755126330287,0.01434931802807291,0.11978863897746275,0.50979418235808,0.2747744404206816,0.2767692138435947,0.03395350634356732,0.02981667891428169,0.0459357703073723,0.024294557867434525,0.31445583230306784
2403,0.08697259612160775,0.017286963609699068,0.13147989812020341,0.5093751750581607,0.05091481391329023,0.28969400937549344,0.05244397392371157,0.004362886773246454,0.1273440618402712,0.18363396511993554,0.2916062890540516
2186,0.0881548500395668,0.01793917558871927,0.1339372076337239,0.5088567340148591,0.14553443520250042,0.27357936069860805,0.17795694335808362,0.019989112622240506,0.008077717444821969,0.12592834620116736,0.24893408447257803
1776,0.09191849727360209,0.020038006596391322,0.14155566606954073,0.5080580613302427,0.019419888120042427,0.32398605095000504,0.07088220877608044,0.002232986866161423,0.22592124358780613,0.09548050657767154,0.26207711512223303
8102,0.09199406248027174,0.02011574327865142,0.1418299801827929,0.507608210813289,0.0477016223700702,0.3084468656544754,0.18656705607646143,0.047632043247245966,0.10568455688874119,0.07145141784190505,0.23251643792110083
2610,0.09492549974501145,0.021862741649822225,0.14786054798296341,0.5067308404243464,0.06243144665073664,0.2731751727729824,0.27749835934771244,2.6596531397795515e-05,0.06687727097905452,0.12155290488184148,0.1984382488362746
4905,0.08956068348916586,0.018931266268919986,0.13759093817879137,0.5055615174218511,0.22538331364770542,0.2564727378615282,0.22786793410131173,0.0023179422000667938,0.017630775449038745,0.043356026968830126,0.22697126977151907
1658,0.09419154268228969,0.021583239633310016,0.14691235357623952,0.505005473510356,0.141262235903074,0.29764959149135956,0.2530283207570009,0.016105843543949405,0.01536421790961403,0.09519434052360966,0.18139544987139256
